Year,No,Position,Player,Words,OneName,DOB,Age,Caps,Club,ClubCountry
1930,-,FW,Poly,1,TRUE,26-Jan-09,21,,Brazil Americano,Brazil
1930,-,MF,Hermógenes,1,TRUE,4-Nov-08,21,,Brazil America-RJ,Brazil
1930,-,GK,Joel,1,TRUE,1-May-04,26,,Brazil América-RJ,Brazil
1930,-,FW,Benedicto,1,TRUE,10-May-10,20,,Brazil Botafogo,Brazil
1930,-,FW,Carvalho Leite,2,FALSE,25-Jun-12,18,,Brazil Botafogo,Brazil
1930,-,FW,Nilo,1,TRUE,3-Apr-03,27,,Brazil Botafogo,Brazil
1930,-,MF,Pamplona,1,TRUE,24-Mar-04,26,,Brazil Botafogo,Brazil
1930,-,FW,Araken,1,TRUE,17-Jul-05,24,,Brazil Flamengo,Brazil
1930,-,FW,Moderato,1,TRUE,14-Jul-02,27,,Brazil Flamengo,Brazil
1930,-,MF,Fernando,1,TRUE,1-Mar-06,24,,Brazil Fluminense,Brazil
1930,-,MF,Fortes,1,TRUE,9-Sep-01,28,,Brazil Fluminense,Brazil
1930,-,MF,Ivan Mariz,2,FALSE,16-May-10,20,,Brazil Fluminense,Brazil
1930,-,FW,Preguinho,1,TRUE,8-Feb-05,25,,Brazil Fluminense,Brazil
1930,-,GK,Velloso,1,TRUE,25-Sep-08,21,,Brazil Fluminense,Brazil
1930,-,FW,Teóphilo,1,TRUE,11-Apr-00,30,,Brazil São Cristóvão,Brazil
1930,-,DF,Zé Luiz,2,FALSE,16-Nov-04,25,,Brazil São Cristóvão,Brazil
1930,-,DF,Brilhante,1,TRUE,5-Nov-04,25,,Brazil Vasco da Gama,Brazil
1930,-,MF,Fausto,1,TRUE,28-Jan-05,25,,Brazil Vasco da Gama,Brazil
1930,-,DF,Itália,1,TRUE,22-May-07,23,,Brazil Vasco da Gama,Brazil
1930,-,FW,Russinho,1,TRUE,18-Dec-02,27,,Brazil Vasco da Gama,Brazil
1930,-,FW,Manoelzinho,1,TRUE,22-Aug-07,22,,Brazil Ypiranga Niterói,Brazil
1930,-,DF,Oscarino,1,TRUE,17-Jan-07,23,,Brazil Ypiranga Niterói,Brazil
1934,-,DF,Luiz Luz,2,FALSE,29-Nov-09,24,,Brazil Americano Rio Grande,Brazil
1934,-,MF,Ariel,1,TRUE,22-Feb-10,24,,Brazil Botafogo,Brazil
1934,-,FW,Áttila,1,TRUE,16-Dec-10,23,,Brazil Botafogo,Brazil
1934,-,MF,Canalli,1,TRUE,12-Mar-07,27,,Brazil Botafogo,Brazil
1934,-,FW,Carvalho Leite,2,FALSE,25-Jun-12,21,,Brazil Botafogo,Brazil
1934,-,GK,Germano,1,TRUE,14-Mar-11,23,,Brazil Botafogo,Brazil
1934,-,MF,Martim,1,TRUE,2-Mar-11,23,,Brazil Botafogo,Brazil
1934,-,DF,Octacílio,1,TRUE,21-Nov-09,24,,Brazil Botafogo,Brazil
1934,-,DF,Pamplona,1,TRUE,24-Mar-04,30,,Brazil Botafogo,Brazil
1934,-,GK,Pedrosa,1,TRUE,8-Jul-13,20,,Brazil Botafogo,Brazil
1934,-,MF,Waldyr,1,TRUE,21-Mar-12,22,,Brazil Botafogo,Brazil
1934,-,MF,Almeida,1,TRUE,2-Dec-10,23,,Brazil EC Bahia,Brazil
1934,-,FW,Armandinho,1,TRUE,6-Mar-11,23,,Brazil São Paulo da Floresta,Brazil
1934,-,FW,Luisinho,1,TRUE,29-Mar-11,23,,Brazil São Paulo da Floresta,Brazil
1934,-,DF,Sylvio Hoffman,2,FALSE,11-May-05,29,,Brazil São Paulo da Floresta,Brazil
1934,-,FW,Waldemar de Britto,3,FALSE,17-May-13,21,,Brazil São Paulo da Floresta,Brazil
1934,-,FW,Leônidas,1,TRUE,6-Sep-13,20,,Brazil Vasco da Gama,Brazil
1934,-,MF,Tinoco,1,TRUE,2-Dec-04,29,,Brazil Vasco da Gama,Brazil
1934,-,MF,Bile,1,TRUE,,,,Brazil Ypiranga,Brazil
1934,-,FW,Patesko,1,TRUE,12-Nov-10,23,,Uruguay Nacional,Uruguay
